,vintage,dependents,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,customer_id,gender,occupation,customer_nw_category,age,city,churn
88,733.0,0.0,1002.0,31.0,2870.63,2226.87,2205.3,5458.8,0.29,0.29,0.29,0.29,2757.94,2177.22,92.0,Male,salaried,3.0,35.0,575.0,0
89,7159.0,0.0,5.0,230.0,3185.72,3185.72,3185.72,3173.23,0.67,0.67,0.67,0.67,3185.72,3185.72,93.0,Male,self_employed,2.0,41.0,1.0,0
91,2964.0,0.0,803.0,75.0,3122.27,3148.7,3380.35,6022.71,0.47,0.47,0.47,0.47,3143.23,3148.7,95.0,Male,salaried,2.0,30.0,58.0,0
93,2839.0,0.0,286.0,70.0,2227.37,2355.94,1869.48,226.88,0.27,0.27,128.84,0.27,2333.78,2352.71,97.0,Male,retired,2.0,74.0,146.0,0
95,2629.0,0.0,35.0,30.0,1454.24,3187.91,1440.99,1260.99,0.34,1085.49,2877.35,410.67,2173.64,1634.38,99.0,Male,self_employed,3.0,26.0,318.0,1
96,463.0,0.0,2903.0,180.0,2429.18,3961.44,3826.64,4367.47,0.14,0.14,1428.71,114.43,3364.19,3994.93,100.0,Female,self_employed,3.0,32.0,1477.0,1
98,1856.0,0.0,63.0,39.0,22437.57,22627.3,14741.84,7979.38,0.39,14643.24,192.23,406.51,22436.48,13398.73,102.0,Female,self_employed,2.0,56.0,1534.0,0
101,4878.0,0.0,146.0,0.0,2617.87,2864.08,3395.36,4774.91,554.89,554.89,782.59,1100.93,2728.8,3173.96,105.0,Male,self_employed,2.0,48.0,1525.0,0
102,1643.0,0.0,438.0,28.0,503.68,40156.71,2904.33,1870.52,4571.66,40000.23,45285.94,2071.66,502.25,5905.42,107.0,Female,self_employed,3.0,72.0,1096.0,1
103,5501.0,0.0,116.0,52.0,1555.37,7232.49,6392.32,10989.5,0.6,814.89,4664.03,3224.89,2312.52,7315.78,108.0,Male,self_employed,2.0,75.0,1180.0,1
104,6825.0,3.0,15.0,28.0,8191.35,1276.02,3410.48,2956.34,12291.5,3.27,779.37,683.13,8884.85,773.95,109.0,Male,self_employed,2.0,70.0,1020.0,0
107,4198.0,0.0,252.0,188.0,2597.77,2597.77,2597.77,8813.29,0.17,0.17,0.17,0.17,2597.77,2597.77,112.0,Male,self_employed,3.0,34.0,1040.0,0
108,6952.0,0.0,108.0,95.0,1694.84,1821.79,2234.07,1473.98,0.56,0.56,128.94,889.61,1770.46,2206.02,113.0,Female,self_employed,3.0,49.0,318.0,1
112,6107.0,0.0,46.0,3.0,16969.05,19368.4,19518.99,29687.98,41.39,257.7,2114.84,829.13,17888.1,20182.08,117.0,Female,self_employed,2.0,62.0,656.0,0
114,506.0,0.0,1861.0,297.0,10864.4,10878.68,11340.54,11852.11,0.01,0.01,0.01,0.01,10869.81,11266.08,119.0,Male,self_employed,2.0,39.0,334.0,0
115,1340.0,0.0,2196.0,100.0,107.99,822.27,1845.1,900.96,0.57,0.57,714.86,2143.43,526.71,2043.47,120.0,Female,student,3.0,10.0,1185.0,1
116,722.0,0.0,1806.0,31.0,1515.7,1515.7,1515.7,1506.1,0.16,0.16,0.16,0.16,1515.7,1515.7,121.0,Male,self_employed,2.0,67.0,107.0,0
117,4335.0,1.0,239.0,3.0,1905.79,1185.76,1764.06,9259.98,1680.43,446.64,9122.52,1905.45,2481.69,1648.49,122.0,Male,salaried,1.0,48.0,1020.0,0
121,2919.0,1.0,16.0,0.0,20452.17,48883.19,57415.13,16768.78,382.8,5910.64,31358.79,21735.89,27160.15,55694.76,127.0,Male,retired,1.0,66.0,834.0,1
122,1126.0,0.0,2755.0,174.0,3097.47,3009.86,3042.97,3381.31,0.34,0.34,0.34,0.34,3067.26,3014.47,129.0,Female,self_employed,2.0,37.0,156.0,1
123,783.0,1.0,666.0,0.0,2123.8,511.7,1681.09,1344.97,2417.34,464.49,1448.1,2258.75,1467.89,857.11,130.0,Female,self_employed,2.0,58.0,1020.0,0
125,2301.0,0.0,1375.0,49.0,5899.01,6327.58,5085.83,2729.45,0.11,428.69,428.69,0.11,5943.34,5926.66,133.0,Female,self_employed,3.0,34.0,1096.0,0
127,992.0,2.0,2907.0,14.0,2409.49,2531.36,3444.59,4213.89,122.03,122.03,243.9,1672.47,2409.49,3660.94,135.0,Male,salaried,3.0,46.0,1298.0,0
129,5691.0,0.0,159.0,7.0,6685.16,13549.22,12790.33,15463.19,2201.54,13495.49,29015.61,13935.28,12939.47,12426.54,137.0,Male,self_employed,1.0,66.0,1020.0,0
131,3425.0,2.0,2245.0,32.0,1460.15,2189.98,1930.66,4036.99,0.13,8742.99,1105.96,3900.13,1872.19,1716.76,139.0,Male,salaried,3.0,43.0,834.0,0
135,752.0,0.0,3189.0,23.0,6212.04,6126.62,6108.5,5849.9,91.04,91.04,5.61,4.91,6198.31,6109.39,143.0,Female,self_employed,2.0,41.0,271.0,0
136,1476.0,0.0,2397.0,102.0,1072.56,1072.56,1994.21,1781.4,0.21,0.21,0.21,1428.79,1072.56,2408.96,144.0,Female,self_employed,3.0,35.0,572.0,0
137,4237.0,2.0,86.0,3.0,5026.63,4904.45,3750.77,6400.35,2426.9,2285.04,1629.92,1611.09,3942.88,3766.02,145.0,Male,self_employed,3.0,41.0,1020.0,0
139,5905.0,0.0,503.0,40.0,5796.61,7398.11,9804.13,4836.96,0.17,412.88,857.31,1285.89,6786.5,9262.38,147.0,Female,self_employed,2.0,49.0,1096.0,0
140,1525.0,0.0,1950.0,164.0,1642.73,1638.88,1638.54,2879.81,0.54,0.54,0.54,0.54,1642.6,1638.88,148.0,Male,self_employed,2.0,30.0,142.0,0
141,1039.0,0.0,679.0,110.0,2348.97,2348.97,3645.54,7706.6,0.2,0.2,0.2,3285.91,2348.97,3049.5,149.0,Female,self_employed,2.0,30.0,409.0,0
142,1138.0,2.0,1730.0,9.0,314.23,2.04,2205.76,2373.25,1159.94,5088.96,1326.33,5876.33,207.61,613.69,150.0,Male,self_employed,3.0,25.0,1154.0,1
144,606.0,0.0,2008.0,0.0,2357.64,1527.79,1537.19,3881.45,7058.77,1364.71,262.31,1201.86,2383.83,527.09,152.0,Male,self_employed,2.0,45.0,409.0,0
150,822.0,0.0,2396.0,3.0,2404.56,258.02,3978.78,3041.39,2143.13,5143.13,0.27,14285.99,827.07,4705.02,158.0,Female,salaried,2.0,40.0,243.0,0
152,504.0,0.0,724.0,35.0,5718.2,6018.2,6869.09,5349.45,0.31,714.6,1578.89,2869.77,5764.26,6529.73,161.0,Male,salaried,2.0,39.0,1477.0,0
155,2468.0,0.0,665.0,48.0,1471.2,1861.02,1664.98,1513.34,0.53,929.1,350.69,0.53,1701.32,1986.71,165.0,Female,self_employed,3.0,36.0,1525.0,0
156,2642.0,0.0,138.0,31.0,3712.09,3712.09,3712.09,5012.75,0.36,0.36,0.36,0.36,3712.09,3712.09,166.0,Female,salaried,2.0,51.0,751.0,0
157,853.0,0.0,668.0,129.0,0.51,0.51,2004.84,10440.1,0.51,0.51,0.51,0.51,0.51,0.51,167.0,Female,retired,1.0,83.0,1020.0,1
158,1683.0,0.0,363.0,61.0,10657.76,10657.76,10528.72,9696.13,0.01,0.01,0.01,0.01,10657.76,10657.76,168.0,Female,student,3.0,23.0,1096.0,0
160,518.0,0.0,2037.0,3.0,4003.75,3303.75,3348.25,3311.84,1057.36,0.21,357.36,0.21,3437.24,3303.75,171.0,Female,self_employed,2.0,49.0,1043.0,0
162,2960.0,2.0,1672.0,3.0,1633.2,761.77,1494.99,2125.05,714.37,0.09,0.09,1214.37,1042.07,1466.84,173.0,Male,self_employed,3.0,46.0,409.0,0
163,606.0,0.0,1703.0,257.0,11651.82,11651.82,11651.82,11580.19,0.59,0.59,0.59,0.59,11651.82,11651.82,174.0,Female,self_employed,3.0,31.0,1494.0,1
165,2491.0,0.0,76.0,6.0,2354.29,3289.97,3352.04,4172.94,2.36,0.64,647.28,304.37,2725.9,3497.39,177.0,Male,salaried,1.0,26.0,146.0,0
168,3824.0,0.0,861.0,209.0,10309.02,10309.02,10309.02,10244.15,0.56,0.56,0.56,0.56,10309.02,10309.02,180.0,Male,retired,2.0,75.0,38.0,0
170,1571.0,0.0,2024.0,31.0,5654.08,5724.63,5726.95,5899.34,0.26,0.26,0.26,0.26,5656.52,5726.9,182.0,Male,salaried,2.0,31.0,1096.0,0
172,711.0,0.0,638.0,102.0,2842.3,2842.3,5406.63,5529.78,0.24,0.24,0.24,3974.96,2842.3,6560.58,185.0,Female,self_employed,2.0,29.0,582.0,1
175,252.0,0.0,3526.0,171.0,43211.61,43211.61,43211.61,40025.33,0.47,0.47,0.47,0.47,43211.61,43211.61,189.0,Female,self_employed,2.0,55.0,575.0,0
176,4970.0,0.0,187.0,95.0,1739.81,1739.81,1739.81,1702.25,0.1,0.1,0.1,0.1,1739.81,1739.81,191.0,Male,self_employed,2.0,37.0,223.0,0
177,3736.0,0.0,370.0,3.0,2462.65,2283.09,1889.2,1639.6,677.0,846.97,539.47,625.34,2035.26,1711.8,192.0,Female,self_employed,3.0,44.0,965.0,0
179,1389.0,0.0,1379.0,135.0,10725.2,17510.91,20106.09,18523.31,0.51,0.51,6786.23,7719.09,14074.95,21041.14,194.0,Female,self_employed,2.0,28.0,318.0,0
181,4115.0,2.0,75.0,31.0,4617.63,15609.03,5029.12,6187.27,0.7,5296.27,14565.88,8571.15,1405.35,11894.71,196.0,Male,self_employed,2.0,45.0,443.0,0
183,1418.0,0.0,1698.0,31.0,2683.0,2683.0,3117.21,3075.15,0.6,0.6,0.6,1258.53,2683.0,2966.6,198.0,Female,self_employed,3.0,30.0,1271.0,0
184,6669.0,0.0,34.0,31.0,1841.96,1841.96,1841.96,1830.29,0.49,0.49,0.49,0.49,1841.96,1841.96,199.0,Male,self_employed,3.0,90.0,905.0,0
186,6113.0,0.0,40.0,21.0,1433.48,2676.86,3257.2,234.88,3133.6,0.16,7671.59,34386.43,2034.36,7488.54,201.0,Male,self_employed,1.0,67.0,834.0,1
187,4613.0,0.0,170.0,149.0,5823.36,5823.36,5823.36,3858.03,0.11,0.11,0.11,0.11,5823.36,5823.36,202.0,Male,self_employed,2.0,65.0,1597.0,0
191,3394.0,0.0,149.0,11.0,1756.94,729.06,1451.46,1484.59,671.64,3158.56,528.79,4828.79,1929.45,1079.07,206.0,Female,self_employed,3.0,38.0,1232.0,0
192,3005.0,0.0,18.0,21.0,1433.21,12861.78,8923.09,3562.58,2857.4,1428.83,14285.97,0.26,5177.05,12248.88,207.0,Female,self_employed,2.0,75.0,834.0,1
195,1321.0,0.0,1638.0,0.0,7110.16,8816.34,7008.65,2727.1,823.37,1020.09,2627.2,2742.04,7493.78,9016.52,210.0,Male,salaried,2.0,55.0,569.0,0
198,984.0,0.0,2179.0,49.0,3975.23,4675.23,4473.45,4053.59,0.11,714.4,700.11,712.97,4071.78,4674.76,213.0,Male,self_employed,2.0,41.0,1412.0,0
199,768.0,0.0,2824.0,168.0,278.57,538.71,2486.48,1130.89,0.64,0.64,246.5,3103.64,351.71,1797.82,214.0,Female,salaried,3.0,28.0,1179.0,1
200,404.0,0.0,622.0,200.0,4163.26,4163.26,4163.26,2962.35,0.07,0.07,0.07,0.07,4163.26,4163.26,216.0,Female,student,1.0,3.0,575.0,0
203,5457.0,1.0,117.0,108.0,16120.07,16870.36,17768.49,34062.56,0.13,0.13,750.42,1778.94,16418.29,17914.24,219.0,Female,self_employed,1.0,49.0,1135.0,0
204,1615.0,0.0,483.0,10.0,5243.46,3979.6,3492.42,7755.83,2624.97,187.31,2627.27,1228.99,4027.07,2832.07,220.0,Male,salaried,2.0,28.0,1096.0,1
205,510.0,0.0,309.0,31.0,1738.95,1738.95,1738.95,1823.69,0.13,0.13,0.13,0.13,1738.95,1738.95,221.0,Female,salaried,3.0,55.0,1177.0,0
207,5514.0,2.0,187.0,18.0,5315.57,1558.28,2441.2,3700.04,286.0,0.29,46.0,418.07,2460.67,2149.19,223.0,Male,self_employed,2.0,45.0,180.0,0
208,2021.0,0.0,1045.0,38.0,2764.84,2764.84,2408.47,2089.34,0.21,643.07,0.21,0.21,2764.84,2412.31,225.0,Male,salaried,3.0,45.0,146.0,0
209,2727.0,0.0,619.0,13.0,2205.39,1553.56,1978.55,2245.55,857.7,0.56,0.56,182.04,1932.26,1647.77,226.0,Male,self_employed,3.0,39.0,491.0,0
212,2529.0,0.0,476.0,68.0,3843.06,3843.06,3758.58,3063.16,0.47,0.47,0.47,0.47,3843.06,3843.06,231.0,Female,self_employed,2.0,30.0,61.0,1
213,2882.0,1.0,296.0,102.0,5532.14,5532.14,5532.14,5190.04,0.43,0.43,0.43,0.43,5532.14,5532.14,232.0,Male,salaried,3.0,59.0,904.0,0
214,2628.0,0.0,33.0,3.0,2818.51,1849.65,1740.18,684.95,2142.97,4072.69,0.11,2142.97,1191.69,1575.02,233.0,Female,student,2.0,21.0,694.0,0
217,4134.0,3.0,396.0,9.0,1053.65,2594.81,10506.18,41495.39,12175.54,15032.69,9077.87,11865.1,12882.48,1748.11,236.0,Male,salaried,1.0,43.0,491.0,1
218,1281.0,0.0,1958.0,31.0,2399.45,2399.45,2426.21,3253.18,0.41,0.41,0.41,0.41,2399.45,2399.45,237.0,Male,salaried,2.0,42.0,432.0,0
219,2090.0,0.0,272.0,31.0,6251.19,6251.19,6251.19,6211.59,0.47,0.47,0.47,0.47,6251.19,6251.19,238.0,Female,student,2.0,31.0,409.0,0
220,3140.0,0.0,51.0,76.0,4142.83,4428.54,4387.39,4309.24,0.01,0.01,285.73,0.01,4379.28,4428.54,239.0,Male,self_employed,1.0,56.0,1618.0,0
221,4000.0,0.0,64.0,6.0,1700.94,1529.51,1747.81,4851.23,214.41,0.13,0.13,0.13,1545.77,1533.59,240.0,Female,self_employed,2.0,33.0,1076.0,0
223,1963.0,0.0,1863.0,17.0,18187.37,18029.1,13674.01,5597.49,176.14,0.29,0.29,706.89,18127.34,14128.74,243.0,Male,retired,2.0,70.0,334.0,0
226,1254.0,0.0,1795.0,31.0,6011.64,6011.64,6011.64,5966.95,0.46,0.46,0.46,0.46,6011.64,6011.64,247.0,Male,student,3.0,23.0,1232.0,0
229,1504.0,0.0,759.0,35.0,3896.99,4111.28,3106.71,2968.24,0.31,1798.37,0.31,0.31,4000.44,2697.7,250.0,Male,retired,2.0,67.0,413.0,0
234,1490.0,0.0,2375.0,21.0,12827.71,751.24,3547.03,1577.53,11748.99,693.26,308.81,1523.54,9824.97,180.84,256.0,Male,self_employed,2.0,90.0,834.0,0
236,933.0,0.0,213.0,103.0,2695.29,3138.74,3284.33,934.02,0.1,0.1,428.67,0.1,2852.44,3138.74,258.0,Male,self_employed,2.0,42.0,318.0,1
243,5054.0,0.0,59.0,24.0,18610.35,13534.95,20902.98,50516.66,10943.97,31586.83,1606.27,24063.9,21840.1,20067.54,265.0,Male,salaried,2.0,49.0,539.0,0
244,3786.0,1.0,2474.0,25.0,5382.59,5333.47,5357.48,5565.15,214.97,386.4,82.66,92.1,5431.81,5370.52,266.0,Male,self_employed,2.0,47.0,905.0,0
246,2741.0,0.0,523.0,4.0,5954.78,1631.76,2322.0,2961.16,4785.4,0.21,0.21,0.21,2434.28,1634.13,268.0,Female,student,1.0,18.0,146.0,0
247,2291.0,0.0,1695.0,200.0,3840.8,4426.51,4090.69,2160.78,0.24,0.24,571.67,0.24,4318.14,4430.66,269.0,Female,retired,3.0,60.0,906.0,0
248,4234.0,3.0,47.0,11.0,1933.12,533.94,8259.56,3932.23,357.83,779.26,728.44,5611.23,1818.61,2881.55,270.0,Male,self_employed,3.0,39.0,1020.0,1
251,1869.0,0.0,320.0,149.0,1691.27,1776.98,1718.87,984.21,0.1,0.1,0.1,0.1,1697.18,1782.51,273.0,Female,self_employed,3.0,41.0,1525.0,0
252,3822.0,0.0,212.0,258.0,1503.34,1503.34,1503.34,1609.2,0.44,0.44,0.44,0.44,1503.34,1503.34,274.0,Male,self_employed,2.0,50.0,1020.0,0
254,2035.0,0.0,932.0,9.0,7811.02,3750.43,4114.98,3991.58,7115.53,0.01,3054.94,0.01,4825.89,3748.89,276.0,Female,self_employed,2.0,53.0,409.0,1
255,824.0,0.0,676.0,124.0,5664.38,6450.09,8411.48,6475.6,0.03,0.03,728.6,1571.46,6090.48,7417.83,277.0,Female,self_employed,2.0,54.0,334.0,1
256,5120.0,0.0,5.0,62.0,1828.39,1828.39,1810.27,1724.1,0.27,0.27,0.27,0.27,1828.39,1828.39,278.0,Female,self_employed,1.0,77.0,1020.0,0
257,452.0,0.0,1420.0,100.0,2684.38,2679.46,2890.48,3162.33,0.36,0.36,214.03,376.2,2799.87,2762.71,279.0,Male,self_employed,3.0,63.0,694.0,0
258,7095.0,0.0,501.0,56.0,1964.42,4672.32,4234.68,4445.53,0.34,214.63,44.13,204.19,2384.68,4895.2,280.0,Male,retired,3.0,63.0,1020.0,1
260,784.0,0.0,378.0,89.0,430.31,2576.68,2469.82,2643.69,0.67,0.67,4.19,700.67,1024.16,3118.61,282.0,Female,self_employed,2.0,28.0,1271.0,1
262,1201.0,0.0,77.0,31.0,4093.32,7162.03,5666.34,4008.97,0.53,3.72,2170.67,1291.23,5559.46,7858.88,284.0,Female,self_employed,1.0,39.0,146.0,1
265,2659.0,2.0,526.0,149.0,2918.97,2918.97,2918.97,2682.14,0.03,0.03,0.03,0.03,2918.97,2918.97,287.0,Male,self_employed,3.0,53.0,1178.0,0
266,1421.0,0.0,2581.0,30.0,1031.8,5171.8,4903.77,6518.16,0.59,1714.87,4140.59,1272.01,3049.64,4127.56,288.0,Male,self_employed,3.0,31.0,1477.0,0
267,2536.0,0.0,227.0,146.0,1069.08,1606.15,3096.84,1614.17,0.5,0.5,537.57,4400.5,1095.67,2101.07,289.0,Male,salaried,1.0,32.0,1020.0,1
269,1629.0,0.0,219.0,44.0,4287.7,4896.61,2840.36,635.42,0.5,4292.14,76.21,143.36,4579.2,2689.6,291.0,Male,salaried,2.0,23.0,834.0,0
270,1013.0,1.0,81.0,11.0,10678.88,1216.36,2314.33,853.4,11128.9,343.39,1850.94,462.44,4900.27,1225.04,292.0,Male,salaried,2.0,32.0,623.0,0
271,1208.0,2.0,643.0,41.0,1565.69,1896.58,1675.83,2044.76,0.06,371.49,368.56,368.56,1602.33,1728.46,293.0,Male,self_employed,3.0,55.0,139.0,0
